DT_COMPETENCIA;NU_MATRICULA_EFPC;SG_EFPC;IN_ESTAT_PLANO_EFPC;ID_PLANO;CNPB;ID_BENEFICIO;NU_BENEFICIO;NM_BENEFICIO;TE_NIVEL;QT_ANTERIOR;QT_ENTRADAS;QT_SAIDAS;QT_ATUAL;DT_EXTRACAO
202205;3251;PREVIP;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2316;CIBRIUS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4131;ENERGISAPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;271;ECOS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3678;INDUSPREVI;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3304;MARCOPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4831;NÉOS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3349;BOTICARIO PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1729;PREVDOW;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;45;ALPHA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3161;CAPITAL PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;121;BASES;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;727;PREVHAB;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3558;PREVICEL;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;241;CIFRAO;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1674;MERCERPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2021;SIAS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4532;ALEPEPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2659;FABASA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3366;ROCHEPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3592;P&G PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2841;FUNDIAGUA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;802;PREVIRB;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;821;PREVISTIHL;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;984;SUPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4889;ELANCO PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4791;RS-PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2693;INOVAR PREVIDENCIA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1818;PREVI NOVARTIS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4652;MÚTUOPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2395;VIKINGPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2169;BRASILETROS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1781;PREVI/BB;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2107;CAVA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;3438;ICATUFMP;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4707;SP-PREVCOM;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1612;JOHNSON;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4635;FUTURA II;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2258;MULTIPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;2071;UNISYS-PREVI;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1393;FAPA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;998;TELOS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1688;NUCLEOS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;4892;CE-PREVCOM;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;1571;IBM;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;206;CARGILLPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202205;971;ALPAPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202204;2191;SEGURIDADE;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202204;312;ECONOMUS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202204;3321;TRAMONTINAPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202204;4581;EMBRAER PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
202204;1852;PREVI-GM;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;01/11/2022
